;inst_to_attr;nr_attr;nr_inst;Minority Class %;miss perce;perce_feat_w_miss_val;perce_sampl_w_miss_val;perce_miss_val_per_feat;comp 50%var;comp 70%var;comp 90%var;silhouette score k=2;silhouette score k=3;silhouette score k=4;n_num;n_cat
BI+GAIN;-0.03002310358447934;0.05124253610782306;-0.07775214005211316;0.020785225558485693;0.10469595096126127;0.1717366319077504;0.1278890600924499;-0.17474985932504636;-0.21213035083982124;-0.09522339253690898;-0.06790131542132946;0.12163206067558295;0.0438799206234698;-0.05080832914296503;0.21912468991104722;-0.10701223207630396
BI+MF;-0.08237107906510997;0.1857060331125618;-0.03849115844164017;0.05850656083129307;0.05157815231179783;0.1913746772604304;0.17257318952234202;-0.17244038981854795;-0.1066511708642195;-0.005052669808080885;0.026234599140059107;-0.04003080477930578;0.010777524363659247;-0.18321791418220723;0.05817469643656122;0.09658143689197107
BI+SOFT;-0.09232544890924305;0.10435120537654845;-0.05347182249326993;0.12425466665702292;0.12040777295247114;0.17817972236724178;0.1266602713600298;-0.0727062910160289;-0.05388045709000294;0.025248764213417405;0.1860424464930871;-0.0023081362227310763;-0.11848432610019524;-0.15926139936844425;0.18566394940166644;-0.023938368466011172
BI+PPCA;-0.0876923076923077;0.16708381174791895;0.027692307692307697;0.16076923076923075;0.07076923076923076;0.12235476088450019;0.14318710940290144;-0.03461538461538462;0.15146084531340137;0.2062233117245539;0.12181990952986585;0.20384615384615384;0.1392307692307692;0.1423076923076923;0.009300788711259294;0.3833262603136323
BI+DAE;-0.02393840236796994;-0.09275401283010987;-0.07567623974390497;0.1042478812798691;0.17142984921578475;0.3244515548262718;0.055641687788942476;-0.1830129471357702;-0.13284498678308101;-0.0269010447877088;0.002708981573895078;-0.17606308838377893;-0.06332093529592049;-0.09884243558387588;0.009725800714464947;0.015113350409647005
